Item;Quantity;Price (USD);Link
Arduino Uno R3;1;4.44 USD;https://elimex.bg/product/71201-kit-k2014-razvoyna-platka-s-atmega328p-smd-usb-b
LCD Display;1;22.02 USD;https://elimex.bg/product/94768-lcd-rc1602e-biy-esx
Buzzer;1;0.30 USD;https://elimex.bg/product/81601-zumer-0152-12v-pasiven
4x3 Button Matrix (my store has stopped selling the 4x3 so I linked the 4x4);1;2.32 USD;https://elimex.bg/product/74899-kit-k2143-matrichna-klaviatura-4h4-s-16-butona-panelen-tip
9V Battery;1;2.32 USD;https://elimex.bg/product/93070-bateriq-6lp3146-varta-energy
9V Battery jack;1;0.54 USD;https://elimex.bg/product/77718-f172b-battery-clip-9v-to-dc-plug-2-1x5-5mm
Switch;1;0.36 USD;https://elimex.bg/product/44024-switch-smrs101-1-black
